eshram_id,worker_name,week_start,week_end,platform,job_type,age,education,experience_months,zone,satisfaction,weekly_income_inr,avg_daily_income_inr,worked_this_week,income_bracket,platform_volatility_index
4940-1805-6603,Sarita Ali,01-01-2024,07-01-2024,Amazon,Full-time,19,Secondary,54,Semi-urban,Sometimes,4577,763,1,D,0.27
8560-9896-2115,Sumit Kumar,01-01-2024,07-01-2024,Amazon,Full-time,46,Secondary,43,Semi-urban,No,4853,809,1,D,0.27
5451-5314-8283,Kamla Gowda,01-01-2024,07-01-2024,Amazon,Full-time,35,Secondary,42,Urban,Yes,4822,804,1,D,0.27
1380-5070-5438,Ritesh Patel,01-01-2024,07-01-2024,Amazon,Full-time,41,Secondary,9,Urban,Yes,4694,782,1,D,0.27
4609-9133-4819,Amit Mishra,01-01-2024,07-01-2024,Amazon,Part-time,24,Secondary,16,Urban,Sometimes,1951,325,1,A,0.27
3459-1579-8738,Tarun Naidu,01-01-2024,07-01-2024,Amazon,Full-time,33,Secondary,43,Rural,Sometimes,5535,922,1,D,0.27
7329-6865-6886,Harish Kumar,01-01-2024,07-01-2024,Amazon,Part-time,25,Secondary,36,Urban,Yes,2538,423,1,A,0.27
6936-2496-9328,Sunil Bhat,01-01-2024,07-01-2024,Amazon,Part-time,32,Secondary,21,Rural,No,2558,426,1,A,0.27
6595-2186-8035,Ramesh Paul,01-01-2024,07-01-2024,Amazon,Full-time,27,Primary,32,Semi-urban,Always,4573,762,1,D,0.27
1364-5726-7613,Dinesh Shah,01-01-2024,07-01-2024,Amazon,Full-time,47,Secondary,47,Urban,Always,4415,736,1,D,0.27
4231-2372-4282,Varun Shah,01-01-2024,07-01-2024,Amazon,Part-time,39,Secondary,25,Urban,Sometimes,885,148,1,A,0.27
1639-9454-1738,Padma Bose,01-01-2024,07-01-2024,Amazon,Full-time,48,Primary,5,Urban,No,4058,676,1,C,0.27
1365-1216-3667,Ravi Gupta,01-01-2024,07-01-2024,Amazon,Full-time,33,Secondary,52,Urban,Yes,4501,750,1,D,0.27
9585-7551-1282,Sita Chauhan,01-01-2024,07-01-2024,Amazon,Full-time,45,Secondary,34,Urban,Yes,3502,584,1,C,0.27
2440-9742-5006,Lalit Hegde,01-01-2024,07-01-2024,Amazon,Full-time,40,Primary,16,Rural,Yes,5266,878,1,D,0.27
8119-5398-8401,Deepak Amin,01-01-2024,07-01-2024,Amazon,Full-time,33,Primary,30,Urban,No,4912,819,1,D,0.27
9536-5487-9929,Ramesh Jain,01-01-2024,07-01-2024,Amazon,Full-time,32,Secondary,56,Urban,Yes,5534,922,1,D,0.27
9275-1761-4737,Lalita Bose,01-01-2024,07-01-2024,Amazon,Full-time,38,Primary,28,Semi-urban,Always,4154,692,1,D,0.27
3473-5694-9734,Sanjay Hegde,01-01-2024,07-01-2024,Amazon,Full-time,46,Secondary,25,Rural,No,4288,715,1,D,0.27
8538-5651-3019,Usha Qureshi,01-01-2024,07-01-2024,Amazon,Full-time,29,Primary,52,Urban,No,5058,843,1,D,0.27
5851-9238-5792,Deepak Iyer,01-01-2024,07-01-2024,Amazon,Full-time,25,Secondary,35,Urban,Yes,3047,508,1,B,0.27
1995-4204-5323,Yogesh Rajput,01-01-2024,07-01-2024,Amazon,Full-time,46,Primary,49,Semi-urban,No,3561,594,1,C,0.27
9066-5812-5044,Neha Malik,01-01-2024,07-01-2024,Amazon,Full-time,44,Secondary,29,Semi-urban,Always,3681,614,1,C,0.27
8466-1900-4700,Kavita Shenoy,01-01-2024,07-01-2024,Amazon,Full-time,24,Primary,1,Semi-urban,No,4105,684,1,D,0.27
2676-1661-7233,Kamla Ansari,01-01-2024,07-01-2024,Amazon,Full-time,42,Primary,60,Semi-urban,Yes,4913,819,1,D,0.27
9729-5078-9709,Shanti Pandey,01-01-2024,07-01-2024,Amazon,Full-time,22,Secondary,28,Urban,Sometimes,4892,815,1,D,0.27
9735-7101-8282,Deepak Naik,01-01-2024,07-01-2024,Amazon,Full-time,36,Primary,55,Semi-urban,Sometimes,4301,717,1,D,0.27
3378-9204-6948,Arun Das,01-01-2024,07-01-2024,Amazon,Full-time,47,Primary,41,Urban,Sometimes,4214,702,1,D,0.27
5550-7560-6627,Ritu Ahmed,01-01-2024,07-01-2024,Amazon,Full-time,37,Primary,59,Semi-urban,Sometimes,4998,833,1,D,0.27
4864-3874-7119,Divya Chatterjee,01-01-2024,07-01-2024,Amazon,Full-time,38,Primary,32,Rural,Always,4070,678,1,D,0.27
8031-8567-1256,Sanjay Ghosh,01-01-2024,07-01-2024,Ekart,Part-time,45,Secondary,60,Semi-urban,No,1705,284,1,A,0.31
7934-9201-3568,Satish Modi,01-01-2024,07-01-2024,Ekart,Full-time,33,Secondary,22,Semi-urban,Yes,4105,684,1,D,0.31
9840-7391-1437,Yogesh Kumar,01-01-2024,07-01-2024,Ekart,Full-time,26,Secondary,32,Semi-urban,No,2918,486,1,B,0.31
7001-5659-2958,Amit Mehta,01-01-2024,07-01-2024,Ekart,Full-time,36,Primary,41,Semi-urban,Yes,4012,669,1,C,0.31
9007-1153-6548,Shyam Parekh,01-01-2024,07-01-2024,Ekart,Full-time,24,Secondary,44,Semi-urban,No,3870,645,1,C,0.31
9232-9765-9480,Vinod Shah,01-01-2024,07-01-2024,Ekart,Full-time,40,Secondary,31,Urban,Yes,4121,687,1,D,0.31
7075-6470-5726,Prakash Khan,01-01-2024,07-01-2024,Ekart,Full-time,26,Secondary,11,Rural,Always,3292,549,1,B,0.31
4647-4190-4886,Sachin Patel,01-01-2024,07-01-2024,Ekart,Full-time,23,Secondary,60,Urban,No,4516,753,1,D,0.31
8832-1295-6372,Geeta Rajput,01-01-2024,07-01-2024,Ekart,Part-time,41,Secondary,4,Urban,Yes,3283,547,1,B,0.31
9459-3589-3492,Naresh Naidu,01-01-2024,07-01-2024,Ekart,Part-time,26,Secondary,54,Semi-urban,No,881,147,1,A,0.31
5123-7434-5080,Tarun Amin,01-01-2024,07-01-2024,Ekart,Full-time,44,Primary,4,Urban,Always,3902,650,1,C,0.31
9998-1196-2904,Prakash Ahmed,01-01-2024,07-01-2024,Ekart,Full-time,27,Secondary,18,Semi-urban,Sometimes,4775,796,1,D,0.31
2768-8501-8984,Praveen Banerjee,01-01-2024,07-01-2024,Ekart,Full-time,43,Secondary,2,Rural,Sometimes,3431,572,1,B,0.31
2599-6664-4192,Pradeep Shah,01-01-2024,07-01-2024,Ekart,Full-time,22,Primary,15,Semi-urban,Always,4365,728,1,D,0.31
1502-7401-9940,Ravi Patel,01-01-2024,07-01-2024,Ekart,Full-time,24,Primary,39,Semi-urban,Sometimes,3416,569,1,B,0.31
7668-7974-4742,Sita Islam,01-01-2024,07-01-2024,Ekart,Full-time,40,Secondary,5,Rural,Yes,4356,726,1,D,0.31
2648-8281-8986,Shanti Rao,01-01-2024,07-01-2024,Ekart,Full-time,25,Secondary,43,Urban,Rarely,2252,375,1,A,0.31
9157-3668-4315,Mamta Iyer,01-01-2024,07-01-2024,Ekart,Full-time,46,Secondary,33,Urban,Always,3368,561,1,B,0.31
8573-6512-1728,Padma Thakur,01-01-2024,07-01-2024,Ekart,Full-time,43,Secondary,46,Semi-urban,Yes,4375,729,1,D,0.31
6804-8724-6821,Mamta Paul,01-01-2024,07-01-2024,Ekart,Part-time,30,Secondary,23,Semi-urban,Always,2350,392,1,A,0.31
1455-5435-7016,Rajesh Hegde,01-01-2024,07-01-2024,Ekart,Full-time,39,Secondary,37,Urban,Yes,3648,608,1,C,0.31
9023-1820-1936,Rajesh Shah,01-01-2024,07-01-2024,Ekart,Full-time,30,Secondary,16,Semi-urban,No,2888,481,1,B,0.31
9112-3293-1037,Vimala Chatterjee,01-01-2024,07-01-2024,Ekart,Full-time,24,Secondary,22,Semi-urban,Yes,4148,691,1,D,0.31
3500-9794-9532,Asha Khan,01-01-2024,07-01-2024,Ekart,Full-time,38,Primary,35,Urban,Sometimes,3731,622,1,C,0.31
7911-2412-1499,Vishal Bhat,01-01-2024,07-01-2024,Ekart,Full-time,46,Primary,1,Urban,Yes,4051,675,1,C,0.31
5458-2600-8079,Aarav Ahmed,01-01-2024,07-01-2024,Ekart,Part-time,44,Secondary,14,Rural,Sometimes,1940,323,1,A,0.31
2609-2674-1106,Anil Sharma,01-01-2024,07-01-2024,Ekart,Full-time,32,Secondary,59,Semi-urban,Yes,3799,633,1,C,0.31
8312-9891-3626,Vimala Modi,01-01-2024,07-01-2024,Ekart,Full-time,22,Primary,24,Semi-urban,Sometimes,2684,447,1,A,0.31
4346-3791-1321,Rohit Siddiqui,01-01-2024,07-01-2024,Ekart,Full-time,26,Primary,37,Urban,Always,4015,669,1,C,0.31
5196-4344-8856,Asha Modi,01-01-2024,07-01-2024,Ekart,Part-time,23,Secondary,26,Urban,Sometimes,1542,257,1,A,0.31
6495-6067-6597,Naveen Ansari,01-01-2024,07-01-2024,Ekart,Full-time,37,Primary,46,Urban,Rarely,3797,633,1,C,0.31
5470-2093-5454,Usha Rajput,01-01-2024,07-01-2024,Ekart,Full-time,26,Primary,20,Urban,No,4444,741,1,D,0.31
5023-2669-6392,Tarun Modi,01-01-2024,07-01-2024,Ekart,Part-time,44,Secondary,50,Urban,No,1230,205,1,A,0.31
5636-9843-4026,Dinesh Naidu,01-01-2024,07-01-2024,Ekart,Full-time,40,Secondary,7,Urban,Sometimes,3774,629,1,C,0.31
2669-7347-6948,Nilesh Ansari,01-01-2024,07-01-2024,Ekart,Full-time,24,Primary,58,Rural,Sometimes,4522,754,1,D,0.31
2256-9496-1522,Nikhil Pillai,01-01-2024,07-01-2024,Ekart,Full-time,48,Primary,59,Urban,No,4651,775,1,D,0.31
1123-4845-3631,Vijay Modi,01-01-2024,07-01-2024,Ekart,Full-time,41,Primary,7,Semi-urban,Sometimes,4038,673,1,C,0.31
9742-4652-9363,Radha Shaikh,01-01-2024,07-01-2024,Ekart,Full-time,31,Primary,22,Rural,Yes,4658,776,1,D,0.31
6542-9149-1032,Sarita Yadav,01-01-2024,07-01-2024,Ekart,Full-time,41,Secondary,4,Rural,Yes,3680,613,1,C,0.31
3324-7953-1844,Vijay Sharma,01-01-2024,07-01-2024,Ekart,Full-time,25,Secondary,1,Urban,Yes,4788,798,1,D,0.31
6048-4906-2910,Sarita Modi,01-01-2024,07-01-2024,Ekart,Full-time,28,Secondary,58,Urban,No,3373,562,1,B,0.31
9894-9893-6612,Nilesh Shenoy,01-01-2024,07-01-2024,Ekart,Full-time,39,Secondary,34,Urban,No,3673,612,1,C,0.31
3807-7792-5341,Rohit Khan,01-01-2024,07-01-2024,Ekart,Full-time,43,Primary,50,Urban,Yes,3100,517,1,B,0.31
7699-7037-7589,Meena Gupta,01-01-2024,07-01-2024,Ekart,Full-time,22,Secondary,29,Urban,Yes,3042,507,1,B,0.31
4001-7245-3685,Savita Bhatt,01-01-2024,07-01-2024,Ekart,Part-time,34,Primary,47,Urban,Rarely,1232,205,1,A,0.31
5680-3005-5418,Sachin Das,01-01-2024,07-01-2024,Ekart,Full-time,20,Secondary,28,Rural,No,4156,693,1,D,0.31
1837-1339-6538,Mahesh Malik,01-01-2024,07-01-2024,Ekart,Full-time,39,Primary,6,Semi-urban,Always,4937,823,1,D,0.31
5558-9721-7990,Mamta Sen,01-01-2024,07-01-2024,Ekart,Full-time,21,Primary,1,Urban,Sometimes,3811,635,1,C,0.31
3760-1701-2126,Vinod Hussain,01-01-2024,07-01-2024,Ekart,Full-time,22,Primary,34,Semi-urban,Sometimes,4091,682,1,D,0.31
1512-9860-3209,Umesh Amin,01-01-2024,07-01-2024,Ekart,Full-time,20,Primary,24,Rural,Sometimes,2946,491,1,B,0.31
2927-5069-5480,Usha Siddiqui,01-01-2024,07-01-2024,Ekart,Part-time,31,Primary,40,Semi-urban,No,1338,223,1,A,0.31
3667-7876-6594,Naresh Bhat,01-01-2024,07-01-2024,Ekart,Part-time,24,Primary,35,Rural,Sometimes,1916,319,1,A,0.31
7125-2311-2980,Manoj Reddy,01-01-2024,07-01-2024,Ekart,Full-time,39,Secondary,22,Semi-urban,Rarely,3951,658,1,C,0.31
4277-5990-6396,Varun Gupta,01-01-2024,07-01-2024,Ekart,Full-time,32,Secondary,59,Semi-urban,Sometimes,3063,510,1,B,0.31
6196-3764-4181,Ganesh Kumar,01-01-2024,07-01-2024,Ekart,Full-time,47,Secondary,7,Urban,No,4636,773,1,D,0.31
6808-5031-5191,Manoj Siddiqui,01-01-2024,07-01-2024,Ekart,Part-time,28,Primary,9,Semi-urban,Sometimes,2106,351,1,A,0.31
2906-1935-9229,Dinesh Chatterjee,01-01-2024,07-01-2024,Ekart,Full-time,40,Primary,60,Semi-urban,Yes,2710,452,1,B,0.31
5134-6438-5831,Rahul Pandey,01-01-2024,07-01-2024,Ekart,Full-time,21,Primary,2,Urban,Yes,3145,524,1,B,0.31
2166-1879-8599,Dinesh Modi,01-01-2024,07-01-2024,Ekart,Full-time,32,Secondary,33,Urban,No,4618,770,1,D,0.31
5400-6850-2940,Laxmi Tiwari,01-01-2024,07-01-2024,Ekart,Full-time,22,Secondary,17,Urban,Sometimes,4070,678,1,D,0.31
5612-8502-8582,Shanti Naidu,01-01-2024,07-01-2024,Delhivery,Full-time,20,Primary,42,Urban,Sometimes,2365,394,1,A,0.36
1099-3113-2449,Anita Bhatt,01-01-2024,07-01-2024,Delhivery,Full-time,34,Primary,15,Semi-urban,Sometimes,3270,545,1,B,0.36
5987-3835-6925,Satish Thakur,01-01-2024,07-01-2024,Delhivery,Full-time,32,Secondary,34,Rural,Yes,3759,626,1,C,0.36
7430-9674-5855,Bharat Banerjee,01-01-2024,07-01-2024,Delhivery,Full-time,37,Secondary,43,Urban,No,4364,727,1,D,0.36
4644-7327-8179,Anita Paul,01-01-2024,07-01-2024,Delhivery,Full-time,33,Secondary,12,Semi-urban,Yes,4160,693,1,D,0.36
1862-9944-7412,Durga Bhatt,01-01-2024,07-01-2024,Delhivery,Full-time,47,Secondary,50,Semi-urban,Sometimes,4269,712,1,D,0.36
1981-3769-1663,Vishal Shetty,01-01-2024,07-01-2024,Delhivery,Full-time,45,Primary,20,Urban,Always,3775,629,1,C,0.36
6738-4064-3147,Rakesh Mukherjee,01-01-2024,07-01-2024,Delhivery,Full-time,30,Primary,31,Urban,No,4130,688,1,D,0.36
2583-6357-3282,Anita Modi,01-01-2024,07-01-2024,Delhivery,Part-time,38,Secondary,24,Semi-urban,No,1620,270,1,A,0.36
7249-3187-7723,Mohit Ali,01-01-2024,07-01-2024,Delhivery,Part-time,41,Secondary,20,Urban,Yes,1007,168,1,A,0.36
3877-9342-5256,Sumit Ali,01-01-2024,07-01-2024,Delhivery,Part-time,32,Primary,14,Urban,Yes,1663,277,1,A,0.36
8071-8576-8329,Divya Trivedi,01-01-2024,07-01-2024,Delhivery,Full-time,35,Secondary,59,Semi-urban,Always,3063,510,1,B,0.36
2719-1252-7336,Ritu Kamat,01-01-2024,07-01-2024,Delhivery,Full-time,25,Secondary,5,Semi-urban,Yes,2876,479,1,B,0.36
8418-4502-8986,Rakesh Desai,01-01-2024,07-01-2024,Delhivery,Full-time,42,Primary,52,Urban,No,3579,596,1,C,0.36
6748-8511-4875,Mukesh Joshi,01-01-2024,07-01-2024,Delhivery,Full-time,21,Secondary,5,Semi-urban,Yes,1380,230,1,A,0.36
5797-8603-4104,Lalita Modi,01-01-2024,07-01-2024,Delhivery,Full-time,24,Secondary,47,Urban,Sometimes,4285,714,1,D,0.36
1913-1753-6591,Satish Shenoy,01-01-2024,07-01-2024,Delhivery,Part-time,43,Primary,1,Urban,Yes,1607,268,1,A,0.36
6979-9831-3279,Praveen Rajput,01-01-2024,07-01-2024,Delhivery,Part-time,20,Secondary,7,Semi-urban,Always,1180,197,1,A,0.36
8500-8289-9537,Nilesh Sharma,01-01-2024,07-01-2024,Delhivery,Full-time,38,Secondary,38,Rural,No,3886,648,1,C,0.36
2684-6961-3879,Sunil Malik,01-01-2024,07-01-2024,Delhivery,Part-time,47,Secondary,40,Rural,Always,1747,291,1,A,0.36
1321-5336-5256,Shyam Trivedi,01-01-2024,07-01-2024,Delhivery,Part-time,24,Primary,23,Semi-urban,Sometimes,1832,305,1,A,0.36
7726-2862-8823,Vimala Pillai,01-01-2024,07-01-2024,Delhivery,Full-time,19,Secondary,15,Urban,Yes,3273,546,1,B,0.36
5864-6629-8835,Lokesh Verma,01-01-2024,07-01-2024,Delhivery,Full-time,36,Primary,50,Urban,No,3377,563,1,B,0.36
5998-6165-6950,Sarita Ahmed,01-01-2024,07-01-2024,Delhivery,Full-time,26,Secondary,54,Semi-urban,Yes,4261,710,1,D,0.36
9788-6499-1889,Padma Sharma,01-01-2024,07-01-2024,Delhivery,Full-time,41,Secondary,24,Rural,Yes,3546,591,1,C,0.36
2700-7445-8892,Ajay Das,01-01-2024,07-01-2024,Delhivery,Full-time,43,Primary,41,Urban,Yes,2685,448,1,A,0.36
5958-1314-4063,Suman Tiwari,01-01-2024,07-01-2024,Delhivery,Full-time,30,Primary,44,Semi-urban,Yes,3403,567,1,B,0.36
9329-4417-7309,Rekha Poojary,01-01-2024,07-01-2024,Delhivery,Full-time,22,Secondary,43,Rural,Yes,3923,654,1,C,0.36
9126-8412-3795,Vinod Islam,01-01-2024,07-01-2024,Delhivery,Full-time,33,Secondary,3,Rural,Yes,3236,539,1,B,0.36
6040-5876-8389,Manoj Dave,01-01-2024,07-01-2024,Delhivery,Full-time,19,Secondary,45,Semi-urban,No,2895,482,1,B,0.36
4643-9689-6282,Nisha Rajput,01-01-2024,07-01-2024,Delhivery,Full-time,38,Secondary,34,Semi-urban,Yes,3065,511,1,B,0.36
1987-5547-7635,Kapil Dey,01-01-2024,07-01-2024,Delhivery,Full-time,24,Secondary,59,Semi-urban,Always,2807,468,1,B,0.36
6333-7245-1404,Ritu Gupta,01-01-2024,07-01-2024,Delhivery,Full-time,27,Secondary,28,Urban,Yes,3978,663,1,C,0.36
8117-7929-8772,Lalit Malik,01-01-2024,07-01-2024,Delhivery,Full-time,25,Primary,50,Semi-urban,No,3127,521,1,B,0.36
7602-3934-5871,Mohit Amin,01-01-2024,07-01-2024,Delhivery,Full-time,25,Secondary,32,Urban,Always,3504,584,1,C,0.36
7125-8727-2057,Harish Joshi,01-01-2024,07-01-2024,Delhivery,Part-time,27,Primary,48,Urban,Sometimes,1391,232,1,A,0.36
5999-8346-6133,Varun Reddy,01-01-2024,07-01-2024,Delhivery,Part-time,23,Primary,12,Urban,Yes,1039,173,1,A,0.36
6290-1666-2434,Ravi Ahmed,01-01-2024,07-01-2024,Delhivery,Full-time,30,Primary,50,Rural,Yes,3392,565,1,B,0.36
5492-8199-8516,Ritu Amin,01-01-2024,07-01-2024,Delhivery,Full-time,22,Primary,23,Semi-urban,Always,4465,744,1,D,0.36
2973-6073-4036,Nikhil Dave,01-01-2024,07-01-2024,Delhivery,Full-time,45,Primary,49,Urban,Sometimes,2650,442,1,A,0.36
4899-1022-7211,Amit Reddy,01-01-2024,07-01-2024,Delhivery,Full-time,27,Secondary,26,Rural,Sometimes,3179,530,1,B,0.36
8511-7298-3740,Radha Das,01-01-2024,07-01-2024,Delhivery,Full-time,21,Primary,19,Urban,Sometimes,2580,430,1,A,0.36
6604-7654-9546,Naveen Modi,01-01-2024,07-01-2024,Delhivery,Part-time,40,Primary,49,Semi-urban,No,1396,233,1,A,0.36
8461-5366-9651,Nilesh Gowda,01-01-2024,07-01-2024,Delhivery,Full-time,42,Primary,40,Urban,Sometimes,4088,681,1,D,0.36
3775-9974-6275,Rahul Thakur,01-01-2024,07-01-2024,Delhivery,Full-time,35,Primary,35,Semi-urban,No,3828,638,1,C,0.36
4276-2010-6228,Lalita Hussain,01-01-2024,07-01-2024,Delhivery,Full-time,48,Primary,29,Rural,No,4450,742,1,D,0.36
2116-3067-1674,Rekha Desai,01-01-2024,07-01-2024,Delhivery,Full-time,42,Secondary,57,Semi-urban,Yes,3317,553,1,B,0.36
8631-3121-8268,Rohit Chatterjee,01-01-2024,07-01-2024,Delhivery,Full-time,30,Primary,39,Urban,Yes,4302,717,1,D,0.36
6753-1346-5760,Shanti Amin,01-01-2024,07-01-2024,Delhivery,Part-time,22,Primary,17,Urban,Always,1606,268,1,A,0.36
5109-9416-5088,Vijay Khan,01-01-2024,07-01-2024,Delhivery,Full-time,38,Secondary,43,Semi-urban,No,3720,620,1,C,0.36
2886-9417-5363,Prakash Shetty,01-01-2024,07-01-2024,Delhivery,Full-time,38,Secondary,11,Urban,Yes,3834,639,1,C,0.36
5560-9189-6749,Gaurav Kumar,01-01-2024,07-01-2024,Delhivery,Full-time,43,Secondary,41,Semi-urban,Always,4659,776,1,D,0.36
5947-6172-5000,Asha Jain,01-01-2024,07-01-2024,Delhivery,Full-time,45,Primary,58,Urban,Always,3576,596,1,C,0.36
6777-3439-5887,Sunil Bhatt,01-01-2024,07-01-2024,Delhivery,Full-time,43,Primary,21,Urban,Rarely,3480,580,1,C,0.36
7793-4934-6349,Vijay Thakur,01-01-2024,07-01-2024,Delhivery,Full-time,29,Primary,29,Semi-urban,Rarely,2866,478,1,B,0.36
2438-2387-9170,Priya Chatterjee,01-01-2024,07-01-2024,Dunzo,Part-time,34,Secondary,19,Semi-urban,Always,885,148,1,A,0.42
7487-4851-1905,Rakesh Thakur,01-01-2024,07-01-2024,Dunzo,Full-time,41,Secondary,21,Urban,Sometimes,3509,585,1,C,0.42
9828-2159-3406,Aarav Roy,01-01-2024,07-01-2024,Dunzo,Full-time,28,Secondary,19,Urban,Sometimes,3501,584,1,C,0.42
4061-2308-3601,Pradeep Shaikh,01-01-2024,07-01-2024,Dunzo,Full-time,25,Secondary,35,Semi-urban,Sometimes,3407,568,1,B,0.42
4619-6601-6408,Padma Bhatt,01-01-2024,07-01-2024,Dunzo,Full-time,41,Secondary,37,Urban,Yes,1697,283,1,A,0.42
