eshram_id,week_start,income_bracket
UAN-41-3326-6509-5579,01-01-2024,B
UAN-15-2521-5112-5365,01-01-2024,A
UAN-10-2033-2118-9585,01-01-2024,B
UAN-44-8014-3404-1919,01-01-2024,C
UAN-83-9202-6749-6844,01-01-2024,C
UAN-46-5014-9165-3640,01-01-2024,B
UAN-41-7753-1486-7826,01-01-2024,A
UAN-28-6180-9079-6426,01-01-2024,D
UAN-12-8521-8512-7159,01-01-2024,A
UAN-60-8327-5663-4874,01-01-2024,A
UAN-85-7377-8689-9316,01-01-2024,B
UAN-37-2268-5463-1782,01-01-2024,B
UAN-79-4070-6532-2454,01-01-2024,C
UAN-24-5271-2109-5451,01-01-2024,B
UAN-19-5297-6353-5050,01-01-2024,D
UAN-45-9001-7801-8730,01-01-2024,B
UAN-87-4634-5063-8818,01-01-2024,B
UAN-75-4139-7446-7687,01-01-2024,B
UAN-34-5373-2619-9934,01-01-2024,C
UAN-20-1555-3163-5853,01-01-2024,A
UAN-78-3047-2262-3071,01-01-2024,D
UAN-29-6417-1894-3945,01-01-2024,B
UAN-29-4822-8935-8605,01-01-2024,A
UAN-47-6834-7745-4886,01-01-2024,A
UAN-31-6826-1871-7520,01-01-2024,A
UAN-54-8757-2544-7734,01-01-2024,B
UAN-70-3340-7756-3915,01-01-2024,D
UAN-14-6573-4718-6955,01-01-2024,D
UAN-71-5370-6487-7772,01-01-2024,B
UAN-11-4118-4049-5677,01-01-2024,C
UAN-92-9959-7368-3780,01-01-2024,D
UAN-94-2240-3139-8297,01-01-2024,A
UAN-45-3942-2789-4617,01-01-2024,C
UAN-59-4927-4748-6169,01-01-2024,D
UAN-40-1862-8218-4480,01-01-2024,C
UAN-79-2111-8430-2288,01-01-2024,C
UAN-98-6218-5384-6149,01-01-2024,C
UAN-27-7264-5239-1887,01-01-2024,B
UAN-74-4696-7598-4562,01-01-2024,C
UAN-34-1322-5323-2045,01-01-2024,A
UAN-24-7831-2315-7694,01-01-2024,C
UAN-81-1915-5277-5334,01-01-2024,B
UAN-47-2466-6952-4429,01-01-2024,C
UAN-62-2890-3106-6044,01-01-2024,A
UAN-38-8862-1595-2899,01-01-2024,D
UAN-99-1613-9232-2974,01-01-2024,A
UAN-56-3567-7571-4188,01-01-2024,A
UAN-44-3401-3729-9774,01-01-2024,C
UAN-99-6500-9493-8365,01-01-2024,B
UAN-16-4872-7040-4666,01-01-2024,C
UAN-82-1484-7249-6499,01-01-2024,C
UAN-11-8685-9699-4233,01-01-2024,C
UAN-10-6547-5811-5618,01-01-2024,B
UAN-13-3061-3355-7797,01-01-2024,B
UAN-29-6326-9135-8321,01-01-2024,C
UAN-40-2070-9865-1623,01-01-2024,A
UAN-17-4988-8107-5587,01-01-2024,A
UAN-58-1146-2904-8391,01-01-2024,A
UAN-15-1617-6704-7185,01-01-2024,D
UAN-22-9252-3759-3336,01-01-2024,C
UAN-82-1799-2093-4593,01-01-2024,D
UAN-52-2229-3941-9805,01-01-2024,B
UAN-74-4575-5534-8473,01-01-2024,B
UAN-47-2382-5049-6367,01-01-2024,D
UAN-13-4300-7108-8649,01-01-2024,D
UAN-34-5061-5940-3963,01-01-2024,A
UAN-15-5942-9523-2599,01-01-2024,C
UAN-34-4899-3975-5662,01-01-2024,A
UAN-22-4479-1551-3816,01-01-2024,D
UAN-43-5624-4228-8500,01-01-2024,B
UAN-70-3161-2751-4469,01-01-2024,C
UAN-15-8988-9671-4407,01-01-2024,C
UAN-97-9404-3993-1691,01-01-2024,D
UAN-59-4080-1727-1034,01-01-2024,D
UAN-74-9977-6212-4855,01-01-2024,B
UAN-25-7775-7053-9446,01-01-2024,D
UAN-58-4691-4127-5162,01-01-2024,C
UAN-43-2956-8564-4689,01-01-2024,D
UAN-52-5980-1632-8862,01-01-2024,A
UAN-41-7333-9835-7270,01-01-2024,C
UAN-51-7750-1012-3323,01-01-2024,A
UAN-20-9875-4589-5207,01-01-2024,B
UAN-16-3621-5963-5898,01-01-2024,B
UAN-17-7832-6167-2215,01-01-2024,B
UAN-14-7730-2202-5691,01-01-2024,A
UAN-29-5022-3638-9422,01-01-2024,A
UAN-61-2118-7729-3810,01-01-2024,A
UAN-48-6505-9684-9306,01-01-2024,B
UAN-88-8344-6419-3058,01-01-2024,D
UAN-69-8755-1169-5596,01-01-2024,D
UAN-32-7056-7523-1176,01-01-2024,C
UAN-67-8132-7925-5463,01-01-2024,D
UAN-51-5822-9364-5125,01-01-2024,C
UAN-86-9265-8584-6075,01-01-2024,D
UAN-46-2607-1089-4413,01-01-2024,D
UAN-69-2878-3901-7066,01-01-2024,C
UAN-79-9630-7258-4744,01-01-2024,A
UAN-45-9580-8699-5763,01-01-2024,A
UAN-79-4058-6841-8721,01-01-2024,C
UAN-95-3629-6720-4784,01-01-2024,B
UAN-16-7768-5261-1697,01-01-2024,D
UAN-19-8788-5209-4660,01-01-2024,A
UAN-38-9736-4560-2907,01-01-2024,A
UAN-88-1968-3875-9262,01-01-2024,C
UAN-43-3102-8397-8216,01-01-2024,C
UAN-46-1380-6424-7833,01-01-2024,A
UAN-37-8337-3768-6140,01-01-2024,A
UAN-18-8269-1104-6188,01-01-2024,D
UAN-10-8020-2921-2114,01-01-2024,A
UAN-85-9350-8578-1054,01-01-2024,B
UAN-23-4228-8521-1010,01-01-2024,C
UAN-34-5992-2170-3781,01-01-2024,B
UAN-80-9314-1649-6154,01-01-2024,B
UAN-94-3896-9225-1083,01-01-2024,B
UAN-64-4447-8609-7975,01-01-2024,D
UAN-80-3867-4050-2614,01-01-2024,C
UAN-32-5298-6973-6743,01-01-2024,C
UAN-88-9727-8688-7973,01-01-2024,C
UAN-58-4953-7882-7764,01-01-2024,B
UAN-82-7421-2430-3385,01-01-2024,B
UAN-30-7267-5650-7034,01-01-2024,A
UAN-45-8226-3217-7206,01-01-2024,B
UAN-19-6542-5439-2604,01-01-2024,B
UAN-93-3292-5967-3586,01-01-2024,C
UAN-97-2892-7057-9673,01-01-2024,C
UAN-69-9567-9290-6285,01-01-2024,D
UAN-57-6092-5153-1696,01-01-2024,B
UAN-75-1422-6542-6146,01-01-2024,C
UAN-23-5900-8868-7961,01-01-2024,A
UAN-67-2895-2004-3220,01-01-2024,B
UAN-94-8768-2792-9432,01-01-2024,A
UAN-68-2754-5801-8725,01-01-2024,C
UAN-86-5950-7600-8162,01-01-2024,B
UAN-66-4472-3746-2545,01-01-2024,D
UAN-77-2640-1363-8065,08-01-2024,D
UAN-90-6217-9921-2907,08-01-2024,B
UAN-83-7349-3472-7936,08-01-2024,D
UAN-85-4112-3965-6397,08-01-2024,D
UAN-55-2396-3088-2429,08-01-2024,B
UAN-36-4963-7821-7884,08-01-2024,D
UAN-21-4232-5218-7253,08-01-2024,C
UAN-89-2746-6763-3672,08-01-2024,D
UAN-86-1230-1892-1086,08-01-2024,D
UAN-27-4387-6738-2811,08-01-2024,B
UAN-21-9265-4321-1594,08-01-2024,A
UAN-48-3496-4426-1355,08-01-2024,D
UAN-48-9969-4113-2677,08-01-2024,A
UAN-83-8660-5353-2598,08-01-2024,D
UAN-71-3391-4834-2854,08-01-2024,A
UAN-16-6918-6429-4550,08-01-2024,D
UAN-26-5779-5313-9445,08-01-2024,D
UAN-26-6010-8812-6995,08-01-2024,D
UAN-82-1628-1185-5009,08-01-2024,C
UAN-59-1621-9807-5954,08-01-2024,B
UAN-90-7558-2428-2814,08-01-2024,A
UAN-22-1688-6901-4145,08-01-2024,C
UAN-71-4414-1094-1798,08-01-2024,A
UAN-39-2987-8989-5637,08-01-2024,C
UAN-29-9046-6192-5651,08-01-2024,C
UAN-71-5860-2403-4817,08-01-2024,A
UAN-35-7800-1547-6954,08-01-2024,A
UAN-62-2738-7941-6804,08-01-2024,B
UAN-17-3256-5540-4851,08-01-2024,D
UAN-10-7140-7812-4750,08-01-2024,D
UAN-33-5573-3048-3614,08-01-2024,D
UAN-99-2206-8886-3158,08-01-2024,B
UAN-72-4979-6633-5580,08-01-2024,A
UAN-69-6224-4837-3146,08-01-2024,D
UAN-12-9548-4920-3613,08-01-2024,C
UAN-47-5511-3905-9262,08-01-2024,C
UAN-17-4394-6808-6099,08-01-2024,D
UAN-71-4831-4995-7037,08-01-2024,D
UAN-26-1269-6334-3728,08-01-2024,A
UAN-76-3337-7610-1012,08-01-2024,D
UAN-49-4940-1805-6603,08-01-2024,B
UAN-68-8560-9896-2115,08-01-2024,D
UAN-47-5451-5314-8283,08-01-2024,D
UAN-77-1380-5070-5438,08-01-2024,C
UAN-45-4609-9133-4819,08-01-2024,A
UAN-13-3459-1579-8738,08-01-2024,D
UAN-14-7329-6865-6886,08-01-2024,A
UAN-54-6936-2496-9328,08-01-2024,A
UAN-68-6595-2186-8035,08-01-2024,C
UAN-78-1364-5726-7613,08-01-2024,D
UAN-26-4231-2372-4282,08-01-2024,A
UAN-93-1639-9454-1738,08-01-2024,B
UAN-29-1365-1216-3667,08-01-2024,D
UAN-63-9585-7551-1282,08-01-2024,D
UAN-73-2440-9742-5006,08-01-2024,D
UAN-59-8119-5398-8401,08-01-2024,D
UAN-28-9536-5487-9929,08-01-2024,D
UAN-20-9275-1761-4737,08-01-2024,D
UAN-99-3473-5694-9734,08-01-2024,D
UAN-80-8538-5651-3019,08-01-2024,D
UAN-42-5851-9238-5792,08-01-2024,D
UAN-17-1995-4204-5323,08-01-2024,D
UAN-91-9066-5812-5044,08-01-2024,D
UAN-51-8466-1900-4700,08-01-2024,D
UAN-25-2676-1661-7233,08-01-2024,D
UAN-26-9729-5078-9709,08-01-2024,D
UAN-67-9735-7101-8282,08-01-2024,D
UAN-56-3378-9204-6948,08-01-2024,D
UAN-13-5550-7560-6627,08-01-2024,D
UAN-68-4864-3874-7119,08-01-2024,C
UAN-92-8031-8567-1256,08-01-2024,A
UAN-19-7934-9201-3568,08-01-2024,D
UAN-95-9840-7391-1437,08-01-2024,A
UAN-71-7001-5659-2958,08-01-2024,B
UAN-24-9007-1153-6548,08-01-2024,C
UAN-36-9232-9765-9480,08-01-2024,C
UAN-66-7075-6470-5726,08-01-2024,D
UAN-87-4647-4190-4886,08-01-2024,D
UAN-71-8832-1295-6372,08-01-2024,A
UAN-32-9459-3589-3492,08-01-2024,A
UAN-66-5123-7434-5080,08-01-2024,B
UAN-21-9998-1196-2904,08-01-2024,D
UAN-33-2768-8501-8984,08-01-2024,D
UAN-90-2599-6664-4192,08-01-2024,C
UAN-76-1502-7401-9940,08-01-2024,A
UAN-72-7668-7974-4742,08-01-2024,C
UAN-58-2648-8281-8986,08-01-2024,B
UAN-93-9157-3668-4315,08-01-2024,B
UAN-26-8573-6512-1728,08-01-2024,C
UAN-53-6804-8724-6821,08-01-2024,A
UAN-84-1455-5435-7016,08-01-2024,D
UAN-76-9023-1820-1936,08-01-2024,C
UAN-83-9112-3293-1037,08-01-2024,C
UAN-53-3500-9794-9532,08-01-2024,C
UAN-94-7911-2412-1499,08-01-2024,C
UAN-66-5458-2600-8079,08-01-2024,A
UAN-26-2609-2674-1106,08-01-2024,A
UAN-77-8312-9891-3626,08-01-2024,D
UAN-82-4346-3791-1321,08-01-2024,D
UAN-40-5196-4344-8856,08-01-2024,A
UAN-45-6495-6067-6597,08-01-2024,D
UAN-90-5470-2093-5454,08-01-2024,C
UAN-20-5023-2669-6392,08-01-2024,A
UAN-54-5636-9843-4026,08-01-2024,B
UAN-22-2669-7347-6948,08-01-2024,D
UAN-23-2256-9496-1522,08-01-2024,C
UAN-95-1123-4845-3631,08-01-2024,D
UAN-29-9742-4652-9363,08-01-2024,D
UAN-27-6542-9149-1032,08-01-2024,B
UAN-39-3324-7953-1844,08-01-2024,C
UAN-43-6048-4906-2910,08-01-2024,B
UAN-89-9894-9893-6612,08-01-2024,B
UAN-25-3807-7792-5341,08-01-2024,B
UAN-27-7699-7037-7589,08-01-2024,C
UAN-37-4001-7245-3685,08-01-2024,A
UAN-99-5680-3005-5418,08-01-2024,D
UAN-17-1837-1339-6538,08-01-2024,D
UAN-71-5558-9721-7990,08-01-2024,D
UAN-40-3760-1701-2126,08-01-2024,D
UAN-37-1512-9860-3209,08-01-2024,D
UAN-53-2927-5069-5480,08-01-2024,A
UAN-32-3667-7876-6594,08-01-2024,A
UAN-82-7125-2311-2980,08-01-2024,B
UAN-44-4277-5990-6396,08-01-2024,C
UAN-61-6196-3764-4181,08-01-2024,C
UAN-60-6808-5031-5191,08-01-2024,A
UAN-40-2906-1935-9229,08-01-2024,C
UAN-35-5134-6438-5831,08-01-2024,C
UAN-39-2166-1879-8599,08-01-2024,D
UAN-34-5400-6850-2940,08-01-2024,B
UAN-64-5612-8502-8582,08-01-2024,C
UAN-83-1099-3113-2449,08-01-2024,B
UAN-20-5987-3835-6925,08-01-2024,B
UAN-82-7430-9674-5855,08-01-2024,A
UAN-26-4644-7327-8179,08-01-2024,B
UAN-30-1862-9944-7412,08-01-2024,C
UAN-77-1981-3769-1663,08-01-2024,D
UAN-78-6738-4064-3147,08-01-2024,B
UAN-13-2583-6357-3282,08-01-2024,A
UAN-36-7249-3187-7723,08-01-2024,A
UAN-83-3877-9342-5256,08-01-2024,A
UAN-95-8071-8576-8329,08-01-2024,C
UAN-21-2719-1252-7336,08-01-2024,D
UAN-21-8418-4502-8986,08-01-2024,A
UAN-69-6748-8511-4875,08-01-2024,B
UAN-80-5797-8603-4104,08-01-2024,C
UAN-20-1913-1753-6591,08-01-2024,A
UAN-33-6979-9831-3279,08-01-2024,A
UAN-91-8500-8289-9537,08-01-2024,C
UAN-77-2684-6961-3879,08-01-2024,A
UAN-76-1321-5336-5256,08-01-2024,A
UAN-24-7726-2862-8823,08-01-2024,B
UAN-77-5864-6629-8835,08-01-2024,C
UAN-25-5998-6165-6950,08-01-2024,D
UAN-81-9788-6499-1889,08-01-2024,C
UAN-11-2700-7445-8892,08-01-2024,B
UAN-75-5958-1314-4063,08-01-2024,D
UAN-63-9329-4417-7309,08-01-2024,D
UAN-85-9126-8412-3795,08-01-2024,C
UAN-72-6040-5876-8389,08-01-2024,B
UAN-26-4643-9689-6282,08-01-2024,D
UAN-54-1987-5547-7635,08-01-2024,B
UAN-96-6333-7245-1404,08-01-2024,C
UAN-60-8117-7929-8772,08-01-2024,D
UAN-20-7602-3934-5871,08-01-2024,C
UAN-31-7125-8727-2057,08-01-2024,A
UAN-74-5999-8346-6133,08-01-2024,A
UAN-50-6290-1666-2434,08-01-2024,C
UAN-53-5492-8199-8516,08-01-2024,D
UAN-85-2973-6073-4036,08-01-2024,C
UAN-89-4899-1022-7211,08-01-2024,C
UAN-76-8511-7298-3740,08-01-2024,C
